sikuchoson,T,M,F,F_T,F_M,F_F,household
千葉市,977693,482298,495395,24293,11993,12300,452515
中央区,212351,106026,106325,4549,2040,2509,110461
花見川区,177243,87240,90003,4254,2194,2060,81589
稲毛区,160593,80251,80342,3478,1700,1778,75366
若葉区,146609,72739,73870,3605,1855,1750,65201
緑区,129503,63094,66409,1478,744,734,51442
美浜区,151394,72948,78446,6929,3460,3469,68456
銚子市,57458,27774,29684,2167,1151,1016,25413
市川市,496921,251291,245630,11898,5867,6031,244260
船橋市,644980,319418,325562,17834,8736,9098,292693
館山市,44652,21613,23039,391,124,267,20234
木更津市,136141,68445,67696,2621,1194,1427,58755
松戸市,497840,246625,251215,14897,7135,7762,232789
野田市,152460,76092,76368,3222,1710,1512,64251
茂原市,86450,42466,43984,1234,492,742,37305
成田市,131980,65796,66184,5354,2667,2687,59814
佐倉市,167738,81854,85884,3264,1533,1731,70451
東金市,57974,29191,28783,1922,1012,910,25657
旭市,63193,31103,32090,1494,819,675,24347
習志野市,176726,88115,88611,4171,1949,2222,80137
柏市,429152,211788,217364,9011,4398,4613,190954
勝浦市,16574,8460,8114,155,78,77,8045
市原市,268541,137966,130575,5330,2505,2825,118498
流山市,202845,99829,103016,3008,1485,1523,84778
八千代市,200775,98527,102248,5843,2740,3103,86206
我孫子市,130355,63400,66955,1990,948,1042,56781
鴨川市,31835,15056,16779,661,253,408,14636
鎌ケ谷市,110090,53619,56471,1628,719,909,47648
君津市,81655,41561,40094,1011,397,614,35461
富津市,41978,21252,20726,514,292,222,17786
浦安市,170310,82790,87520,3810,1929,1881,79971
四街道市,94017,46550,47467,2123,1193,930,38833
袖ケ浦市,64153,32341,31812,857,418,439,25734
八街市,66896,33897,32999,2334,1214,1120,27842
印西市,103884,51179,52705,2316,1072,1244,38909
白井市,62194,30806,31388,1179,668,511,24222
富里市,49374,25066,24308,2506,1254,1252,21679
南房総市,35255,16777,18478,385,111,274,14684
匝瑳市,34634,17031,17603,477,202,275,12910
香取市,71469,35170,36299,977,466,511,27548
山武市,47924,23922,24002,1184,721,463,19397
いすみ市,35146,17164,17982,541,239,302,14619
大網白里市,47865,23474,24391,581,219,362,19704
印旛郡,40503,19889,20614,760,325,435,17585
酒々井町,20588,10113,10475,516,237,279,9344
栄町,19915,9776,10139,244,88,156,8241
香取郡,32351,16249,16102,741,442,299,11907
神崎町,5751,2900,2851,79,40,39,2291
多古町,13532,6844,6688,394,223,171,5026
東庄町,13068,6505,6563,268,179,89,4590
山武郡,43299,21258,22041,977,490,487,16984
九十九里町,14412,7121,7291,361,183,178,6160
芝山町,6983,3453,3530,206,92,114,2522
横芝光町,21904,10684,11220,410,215,195,8302
長生郡,56175,27556,28619,617,269,348,22395
一宮町,11885,5812,6073,212,75,137,5028
睦沢町,6716,3237,3479,60,18,42,2469
長生村,13682,6718,6964,114,49,65,5605
白子町,10157,5052,5105,119,74,45,4147
長柄町,6615,3244,3371,76,38,38,2503
長南町,7120,3493,3627,36,15,21,2643
夷隅郡,15566,7468,8098,113,59,54,6555
大多喜町,8774,4244,4530,78,43,35,3363
御宿町,6792,3224,3568,35,16,19,3192
安房郡,6832,3286,3546,71,26,45,2996
鋸南町,6832,3286,3546,71,26,45,2996
